TW30045北區      |~BADKEY~                                            
TW821  路竹      |~BADKEY~                                            
TW824  燕巢      |~BADKEY~                                            
TW     北區      |~BADKEY~                                            
TW22053板橋      |~BADKEY~                                            
TW24252新莊      |~BADKEY~                                            
TW30285竹北      |~BADKEY~                                            
TW81272小港      |~BADKEY~                                            
TW973  吉安      |~BADKEY~                                            
TW     林口      |~BADKEY~                                            
TW420  臺中      |~BADKEY~                                            
TW420          |~BADKEY~                                                
TW557  竹山      |~BADKEY~                                            
TW643  林內      |~BADKEY~                                            
TW954  卑南      |~BADKEY~                                            
TW     潭子      |~BADKEY~                                            
TW23156新店      |~BADKEY~                                            
TW241          |~BADKEY~                                                
TW24242新莊      |~BADKEY~                                            
TW40764西屯      |~BADKEY~                                            
TW60094西區      |~BADKEY~                                            
TW83082鳳山      |~BADKEY~                                            
TW90070屏東      |~BADKEY~                                            
TW     台中      |~BADKEY~                                            
TW20544暖暖      |~BADKEY~                                            
TW23145新店      |~BADKEY~                                            
TW248  五股      |~BADKEY~                                            
TW60066東區      |~BADKEY~                                            
TW733  東山      |~BADKEY~                                            
TW81368左營      |~BADKEY~                                            
TW     中壢      |~BADKEY~                                            
TW     安定      |~BADKEY~                                            
TW23441永和      |~BADKEY~                                            
TW23661土城      |~BADKEY~                                            
TW300  東區      |~BADKEY~                                            
TW413  臺中      |~BADKEY~                                            
TW81149楠梓      |~BADKEY~                                            
TW23558中和      |~BADKEY~                                            
TW24244新莊      |~BADKEY~                                            
TW24250新莊      |~BADKEY~                                            
TW330  桃園      |~BADKEY~                                            
TW616  新港      |~BADKEY~                                            
TW652  水林      |~BADKEY~                                            
TW712  新化      |~BADKEY~                                            
TW732  白河      |~BADKEY~                                            
TW908  長治      |~BADKEY~                                            
TW     和美      |~BADKEY~                                            
TW238  樹林      |~BADKEY~                                            
TW24764蘆洲      |~BADKEY~                                            
TW30090香山      |~BADKEY~                                            
TW326  楊梅      |~BADKEY~                                            
TW333  桃園      |~BADKEY~                                            
TW90050屏東      |~BADKEY~                                            
TW950  臺東      |~BADKEY~                                            
TW22061板橋      |~BADKEY~                                            
TW243  泰山      |~BADKEY~                                            
TW30071東區      |~BADKEY~                                            
TW500          |~BADKEY~                                                
TW80791三民      |~BADKEY~                                            
TW20151信義      |~BADKEY~                                            
TW22056板橋      |~BADKEY~                                            
TW260  壯圍      |~BADKEY~                                            
TW721  麻豆      |~BADKEY~                                            
TW730  新營      |~BADKEY~                                            
TW833  鳥松      |~BADKEY~                                            
TW     前鎮      |~BADKEY~                                            
TW     后里      |~BADKEY~                                            
TW22044板橋      |~BADKEY~                                            
TW22051板橋      |~BADKEY~                                            
TW22062板橋      |~BADKEY~                                            
TW330  中正      |~BADKEY~                                            
TW414  烏日      |~BADKEY~                                            
TW83048鳳山      |~BADKEY~                                            
TW24162三重      |~BADKEY~                                            
TW90051屏東      |~BADKEY~                                            
TW     2       |~BADKEY~                                                
TW647  莿桐      |~BADKEY~                                            
TW22068板橋      |~BADKEY~                                            
TW23871樹林      |~BADKEY~                                            
TW24157三重      |~BADKEY~                                            
TW300  南大      |~BADKEY~                                            
TW330  國際      |~BADKEY~                                            
TW407  西屯      |~BADKEY~                                            
TW625  布袋      |~BADKEY~                                            
TW83075鳳山      |~BADKEY~                                            
TW220          |~BADKEY~                                                
TW22045板橋      |~BADKEY~                                            
TW23450永和      |~BADKEY~                                            
TW     五股      |~BADKEY~                                            
TW     竹南      |~BADKEY~                                            
TW23742三峽      |~BADKEY~                                            
TW     岡山      |~BADKEY~                                            
TW     關廟      |~BADKEY~                                            
TW25166淡水      |~BADKEY~                                            
TW266  三星      |~BADKEY~                                            
TW510  員林      |~BADKEY~                                            
TW60054西區      |~BADKEY~                                            
TW80457鼓山      |~BADKEY~                                            
TW235  中和      |~BADKEY~                                            
TW648  西螺      |~BADKEY~                                            
TW832  林園      |~BADKEY~                                            
TW24249新莊      |~BADKEY~                                            
TW24251新莊      |~BADKEY~                                            
TW24755蘆洲      |~BADKEY~                                            
TW412          |~BADKEY~                                                
TW80460鼓山      |~BADKEY~                                            
TW22174汐止      |~BADKEY~                                            
TW241  縣三      |~BADKEY~                                            
TW24148三重      |~BADKEY~                                            
TW     鶯歌      |~BADKEY~                                            
TW22175汐止      |~BADKEY~                                            
TW23153新店      |~BADKEY~                                            
TW30069東區      |~BADKEY~                                            
TW33050桃園      |~BADKEY~                                            
TW506  福興      |~BADKEY~                                            
TW602  番路      |~BADKEY~                                            
TW23542中和      |~BADKEY~                                            
TW237  三峽      |~BADKEY~                                            
TW262  礁溪      |~BADKEY~                                            
TW81267小港      |~BADKEY~                                            
TW22151汐止      |~BADKEY~                                            
TW24341泰山      |~BADKEY~                                            
TW32064中壢      |~BADKEY~                                            
TW651  北港      |~BADKEY~                                            
TW745  安定      |~BADKEY~                                            
