CN      南明     |~BADKEY~                                            
CN100081海淀     |~BADKEY~                                            
CN100098海淀     |~BADKEY~                                            
CN100101朝阳     |~BADKEY~                                            
CN100120西城     |~BADKEY~                                            
CN101102通州     |~BADKEY~                                            
CN110136沈北     |~BADKEY~                                            
CN200071闸北     |~BADKEY~                                            
CN200436宝山     |~BADKEY~                                            
CN201512金山     |~BADKEY~                                            
CN210037下关     |~BADKEY~                                            
CN300000SH     |~BADKEY~                                                
CN516003惠城     |~BADKEY~                                            
CN518000龙岗     |~BADKEY~                                            
CN710082莲湖     |~BADKEY~                                            
CN      滨湖     |~BADKEY~                                            
CN      镇海     |~BADKEY~                                            
CN      静安     |~BADKEY~                                            
CN100050宣武     |~BADKEY~                                            
CN200137浦东     |~BADKEY~                                            
CN201802嘉定     |~BADKEY~                                            
CN211199江宁     |~BADKEY~                                            
CN315399慈溪     |~BADKEY~                                            
CN332001浔阳     |~BADKEY~                                            
CN510175荔湾     |~BADKEY~                                            
CN510632天河     |~BADKEY~                                            
CN      东北     |~BADKEY~                                            
CN      西区     |~BADKEY~                                            
CN      ÉÏ     |~BADKEY~                                              
CN100050西城     |~BADKEY~                                            
CN100083海淀     |~BADKEY~                                            
CN101121通州     |~BADKEY~                                            
CN101500密云     |~BADKEY~                                            
CN116084沙河     |~BADKEY~                                            
CN211222玄武     |~BADKEY~                                            
CN311199余杭     |~BADKEY~                                            
CN410013岳麓     |~BADKEY~                                            
CN510440白云     |~BADKEY~                                            
CN511445番禺     |~BADKEY~                                            
CN518048福田     |~BADKEY~                                            
CN610200双流     |~BADKEY~                                            
CN650034西山     |~BADKEY~                                            
CN661000个旧     |~BADKEY~                                            
CN710061雁塔     |~BADKEY~                                            
CN      兰州     |~BADKEY~                                            
CN      大街     |~BADKEY~                                            
CN      开福     |~BADKEY~                                            
CN      河北     |~BADKEY~                                            
CN      附属     |~BADKEY~                                            
CN      香洲     |~BADKEY~                                            
CN100095海淀     |~BADKEY~                                            
CN110016沈河     |~BADKEY~                                            
CN200129浦东     |~BADKEY~                                            
CN213161武进     |~BADKEY~                                            
CN300193南开     |~BADKEY~                                            
CN312400嵊州     |~BADKEY~                                            
CN315153鄞州     |~BADKEY~                                            
CN414021岳阳     |~BADKEY~                                            
CN510663天河     |~BADKEY~                                            
CN710038灞桥     |~BADKEY~                                            
CN      中路     |~BADKEY~                                            
CN      合肥     |~BADKEY~                                            
CN      唐家     |~BADKEY~                                            
CN      张家     |~BADKEY~                                            
CN      海宁     |~BADKEY~                                            
CN      紫金     |~BADKEY~                                            
CN      红桥     |~BADKEY~                                            
CN054000桥西     |~BADKEY~                                            
CN100011东城     |~BADKEY~                                            
CN100075丰台     |~BADKEY~                                            
CN100091海淀     |~BADKEY~                                            
CN102199延庆     |~BADKEY~                                            
CN200122浦东     |~BADKEY~                                            
CN201402奉贤     |~BADKEY~                                            
CN210000江苏     |~BADKEY~                                            
CN215008姑苏     |~BADKEY~                                            
CN225012邗江     |~BADKEY~                                            
CN255000张店     |~BADKEY~                                            
CN266109城阳     |~BADKEY~                                            
CN311300临安     |~BADKEY~                                            
CN311400富阳     |~BADKEY~                                            
CN415000武陵     |~BADKEY~                                            
CN510360荔湾     |~BADKEY~                                            
CN511453番禺     |~BADKEY~                                            
CN710054碑林     |~BADKEY~                                            
CN      北辰     |~BADKEY~                                            
CN      天河     |~BADKEY~                                            
CN      昆山     |~BADKEY~                                            
CN      烟台     |~BADKEY~                                            
CN      科技     |~BADKEY~                                            
CN      花园     |~BADKEY~                                            
CN      长清     |~BADKEY~                                            
CN110034皇姑     |~BADKEY~                                            
CN116014西岗     |~BADKEY~                                            
CN215000苏州     |~BADKEY~                                            
CN266072市南     |~BADKEY~                                            
CN276000兰山     |~BADKEY~                                            
CN300010河北     |~BADKEY~                                            
CN300070和平     |~BADKEY~                                            
CN325000鹿城     |~BADKEY~                                            
CN350013鼓楼     |~BADKEY~                                            
CN518114龙岗     |~BADKEY~                                            
CN      新兴     |~BADKEY~                                            
CN      新港     |~BADKEY~                                            
CN      泰山     |~BADKEY~                                            
CN      湖南     |~BADKEY~                                            
CN      虹梅     |~BADKEY~                                            
CN      %E     |~BADKEY~                                                
CN050031长安     |~BADKEY~                                            
CN100027朝阳     |~BADKEY~                                            
CN100045西城     |~BADKEY~                                            
CN116699金州     |~BADKEY~                                            
CN121005太和     |~BADKEY~                                            
CN154005东风     |~BADKEY~                                            
CN201317浦东     |~BADKEY~                                            
CN213001天宁     |~BADKEY~                                            
CN300090南开     |~BADKEY~                                            
CN311800诸暨     |~BADKEY~                                            
CN413101沅江     |~BADKEY~                                            
CN430013江岸     |~BADKEY~                                            
CN511447番禺     |~BADKEY~                                            
CN518055南山     |~BADKEY~                                            
CN518172龙岗     |~BADKEY~                                            
CN528478横栏     |~BADKEY~                                            
CN541004七星     |~BADKEY~                                            
CN      建设     |~BADKEY~                                            
CN      洪山     |~BADKEY~                                            
CN      知春     |~BADKEY~                                            
CN      石岐     |~BADKEY~                                            
CN      长宁     |~BADKEY~                                            
CN      闸北     |~BADKEY~                                            
CN100125朝阳     |~BADKEY~                                            
CN110042大东     |~BADKEY~                                            
CN150076道里     |~BADKEY~                                            
CN200235浦东     |~BADKEY~                                            
CN213300溧阳     |~BADKEY~                                            
CN315046江东     |~BADKEY~                                            
CN350000台江     |~BADKEY~                                            
CN361009思明     |~BADKEY~                                            
CN400014渝中     |~BADKEY~                                            
CN511400番禺     |~BADKEY~                                            
CN515022龙湖     |~BADKEY~                                            
CN516600城区     |~BADKEY~                                            
CN518073南山     |~BADKEY~                                            
CN523378茶山     |~BADKEY~                                            
CN650041官渡     |~BADKEY~                                            
CN      平湖     |~BADKEY~                                            
CN201616松江     |~BADKEY~                                            
CN300052和平     |~BADKEY~                                            
CN300151河东     |~BADKEY~                                            
CN350000仓山     |~BADKEY~                                            
CN362200晋江     |~BADKEY~                                            
CN450000管城     |~BADKEY~                                            
CN510176荔湾     |~BADKEY~                                            
CN510813花都     |~BADKEY~                                            
CN      栖霞     |~BADKEY~                                            
CN057450邱县     |~BADKEY~                                            
CN100123朝阳     |~BADKEY~                                            
CN210015下关     |~BADKEY~                                            
CN214200宜兴     |~BADKEY~                                            
CN330029青山     |~BADKEY~                                            
CN353099延平     |~BADKEY~                                            
CN411100雨湖     |~BADKEY~                                            
CN      乐清     |~BADKEY~                                            
CN      同济     |~BADKEY~                                            
CN      海拉     |~BADKEY~                                            
CN      迎宾     |~BADKEY~                                            
CN010010新城     |~BADKEY~                                            
CN066006经济     |~BADKEY~                                            
CN150081南岗     |~BADKEY~                                            
CN200235徐汇     |~BADKEY~                                            
CN201318浦东     |~BADKEY~                                            
CN528421古镇     |~BADKEY~                                            
CN641000市中     |~BADKEY~                                            
CN650224盘龙     |~BADKEY~                                            
CN      天心     |~BADKEY~                                            
CN      新北     |~BADKEY~                                            
CN      杨浦     |~BADKEY~                                            
CN      顺德     |~BADKEY~                                            
CN100009东城     |~BADKEY~                                            
CN100096昌平     |~BADKEY~                                            
CN102300门头     |~BADKEY~                                            
CN315400余姚     |~BADKEY~                                            
CN430074武昌     |~BADKEY~                                            
CN514011梅江     |~BADKEY~                                            
CN550004云岩     |~BADKEY~                                            
CN650000       |~BADKEY~                                                
CN      吉首     |~BADKEY~                                            
CN      晋安     |~BADKEY~                                            
CN      海甸     |~BADKEY~                                            
CN      辽宁     |~BADKEY~                                            
CN      铁东     |~BADKEY~                                            
CN100124朝阳     |~BADKEY~                                            
CN130401榆树     |~BADKEY~                                            
CN200123浦东     |~BADKEY~                                            
CN210032浦口     |~BADKEY~                                            
CN215156吴中     |~BADKEY~                                            
CN264009芝罘     |~BADKEY~                                            
CN300102南开     |~BADKEY~                                            
CN430081青山     |~BADKEY~                                            
CN510000广州     |~BADKEY~                                            
CN529085蓬江     |~BADKEY~                                            
CN      二七     |~BADKEY~                                            
CN      凤凰     |~BADKEY~                                            
CN      潮阳     |~BADKEY~                                            
CN      白下     |~BADKEY~                                            
CN100094海淀     |~BADKEY~                                            
CN200086虹口     |~BADKEY~                                            
CN364099新罗     |~BADKEY~                                            
CN510330海珠     |~BADKEY~                                            
CN510380荔湾     |~BADKEY~                                            
CN510410白云     |~BADKEY~                                            
CN523710塘厦     |~BADKEY~                                            
CN528447港口     |~BADKEY~                                            
CN      公园     |~BADKEY~                                            
CN      北苑     |~BADKEY~                                            
CN      台江     |~BADKEY~                                            
CN      淮海     |~BADKEY~                                            
CN116001       |~BADKEY~                                                
CN200000       |~BADKEY~                                                
CN200240闵行     |~BADKEY~                                            
CN200443宝山     |~BADKEY~                                            
CN264002芝罘     |~BADKEY~                                            
CN400084大渡     |~BADKEY~                                            
CN430060武昌     |~BADKEY~                                            
CN450000河南     |~BADKEY~                                            
CN510000海珠     |~BADKEY~                                            
CN510055越秀     |~BADKEY~                                            
CN510288海珠     |~BADKEY~                                            
CN523170道滘     |~BADKEY~                                            
CN529300开平     |~BADKEY~                                            
CN      义乌     |~BADKEY~                                            
CN      复旦     |~BADKEY~                                            
CN      市场     |~BADKEY~                                            
CN      杨家     |~BADKEY~                                            
CN      永定     |~BADKEY~                                            
CN      浦东     |~BADKEY~                                            
CN054899清河     |~BADKEY~                                            
CN100040石景     |~BADKEY~                                            
CN102600大兴     |~BADKEY~                                            
CN110031皇姑     |~BADKEY~                                            
CN200062普陀     |~BADKEY~                                            
CN201101闵行     |~BADKEY~                                            
CN214029滨湖     |~BADKEY~                                            
CN300451滨海     |~BADKEY~                                            
CN310004下城     |~BADKEY~                                            
CN312000浙江     |~BADKEY~                                            
CN510000CH     |~BADKEY~                                                
CN510030越秀     |~BADKEY~                                            
CN542800八步     |~BADKEY~                                            
CN550003云岩     |~BADKEY~                                            
CN      南岗     |~BADKEY~                                            
CN      江西     |~BADKEY~                                            
CN      深南     |~BADKEY~                                            
CN      鼓楼     |~BADKEY~                                            
CN      ½­     |~BADKEY~                                              
CN100165丰台     |~BADKEY~                                            
CN200020卢湾     |~BADKEY~                                            
CN210000雨花     |~BADKEY~                                            
CN210014玄武     |~BADKEY~                                            
CN223001清河     |~BADKEY~                                            
CN350007仓山     |~BADKEY~                                            
CN523000东城     |~BADKEY~                                            
CN610036金牛     |~BADKEY~                                            
CN      南山     |~BADKEY~                                            
CN      宝山     |~BADKEY~                                            
CN      滨江     |~BADKEY~                                            
CN      琼海     |~BADKEY~                                            
CN      福建     |~BADKEY~                                            
CN      象山     |~BADKEY~                                            
CN      11     |~BADKEY~                                                
CN      º£     |~BADKEY~                                              
CN      ºÓ     |~BADKEY~                                              
CN      ÖØ     |~BADKEY~                                              
CN063000路北     |~BADKEY~                                            
CN110071铁西     |~BADKEY~                                            
CN210046栖霞     |~BADKEY~                                            
CN266031四方     |~BADKEY~                                            
CN300240河北     |~BADKEY~                                            
CN310013西湖     |~BADKEY~                                            
CN317000临海     |~BADKEY~                                            
CN332000浔阳     |~BADKEY~                                            
CN365001三元     |~BADKEY~                                            
CN430223江夏     |~BADKEY~                                            
CN510000白云     |~BADKEY~                                            
CN514700梅县     |~BADKEY~                                            
CN529262台山     |~BADKEY~                                            
CN545021柳北     |~BADKEY~                                            
CN      历城     |~BADKEY~                                            
CN      城西     |~BADKEY~                                            
CN      富阳     |~BADKEY~                                            
CN      石家     |~BADKEY~                                            
CN      资源     |~BADKEY~                                            
CN      ..     |~BADKEY~                                                
CN056001邯山     |~BADKEY~                                            
CN110011沈河     |~BADKEY~                                            
CN110101苏家     |~BADKEY~                                            
CN201204浦东     |~BADKEY~                                            
CN202155崇明     |~BADKEY~                                            
CN210019建邺     |~BADKEY~                                            
CN233000蚌山     |~BADKEY~                                            
CN250031天桥     |~BADKEY~                                            
CN300392西青     |~BADKEY~                                            
CN528248南海     |~BADKEY~                                            
CN528467坦洲     |~BADKEY~                                            
CN571400琼海     |~BADKEY~                                            
CN710001碑林     |~BADKEY~                                            
CN710075雁塔     |~BADKEY~                                            
CN      图书     |~BADKEY~                                            
CN      布吉     |~BADKEY~                                            
CN      甘井     |~BADKEY~                                            
CN      科学     |~BADKEY~                                            
CN      黄岩     |~BADKEY~                                            
CN110004和平     |~BADKEY~                                            
CN201800嘉定     |~BADKEY~                                            
CN300143河北     |~BADKEY~                                            
CN300402北辰     |~BADKEY~                                            
CN322100东阳     |~BADKEY~                                            
CN325206瑞安     |~BADKEY~                                            
CN330038东湖     |~BADKEY~                                            
CN341000章贡     |~BADKEY~                                            
CN430074洪山     |~BADKEY~                                            
CN471002老城     |~BADKEY~                                            
CN515021金平     |~BADKEY~                                            
CN519020香洲     |~BADKEY~                                            
CN529700鹤山     |~BADKEY~                                            
CN654400红河     |~BADKEY~                                            
CN730050七里     |~BADKEY~                                            
CN      不留     |~BADKEY~                                            
CN      延平     |~BADKEY~                                            
CN      苏州     |~BADKEY~                                            
CN010299秦淮     |~BADKEY~                                            
CN021008海拉     |~BADKEY~                                            
CN032000介休     |~BADKEY~                                            
CN110027铁西     |~BADKEY~                                            
CN150008南岗     |~BADKEY~                                            
CN200241闵行     |~BADKEY~                                            
CN201804嘉定     |~BADKEY~                                            
CN201808嘉定     |~BADKEY~                                            
CN201812嘉定     |~BADKEY~                                            
CN221006泉山     |~BADKEY~                                            
CN273599邹城     |~BADKEY~                                            
CN350119闽侯     |~BADKEY~                                            
CN471000西工     |~BADKEY~                                            
CN530012兴宁     |~BADKEY~                                            
CN611130温江     |~BADKEY~                                            
CN621053涪城     |~BADKEY~                                            
CN      延长     |~BADKEY~                                            
CN      黄石     |~BADKEY~                                            
CN110062沈河     |~BADKEY~                                            
CN116041旅顺     |~BADKEY~                                            
CN150010道里     |~BADKEY~                                            
CN210006秦淮     |~BADKEY~                                            
CN214000滨湖     |~BADKEY~                                            
CN230088蜀山     |~BADKEY~                                            
CN300141河北     |~BADKEY~                                            
CN300203河西     |~BADKEY~                                            
CN310024西湖     |~BADKEY~                                            
CN413000赫山     |~BADKEY~                                            
CN510627天河     |~BADKEY~                                            
CN530023青秀     |~BADKEY~                                            
CN571100琼山     |~BADKEY~                                            
CN      上海     |~BADKEY~                                            
CN      华南     |~BADKEY~                                            
CN      安徽     |~BADKEY~                                            
CN056003复兴     |~BADKEY~                                            
CN100192朝阳     |~BADKEY~                                            
CN200232徐汇     |~BADKEY~                                            
CN200245闵行     |~BADKEY~                                            
CN215331昆山     |~BADKEY~                                            
CN230012瑶海     |~BADKEY~                                            
CN315043江东     |~BADKEY~                                            
CN518126宝安     |~BADKEY~                                            
CN528315顺德     |~BADKEY~                                            
CN528425东凤     |~BADKEY~                                            
CN610300青白     |~BADKEY~                                            
CN650106五华     |~BADKEY~                                            
CN710004新城     |~BADKEY~                                            
CN710032新城     |~BADKEY~                                            
CN723000汉台     |~BADKEY~                                            
CN      工业     |~BADKEY~                                            
CN      沈阳     |~BADKEY~                                            
CN      韶山     |~BADKEY~                                            
CN201108闵行     |~BADKEY~                                            
CN201400奉贤     |~BADKEY~                                            
CN210000鼓楼     |~BADKEY~                                            
CN215028平江     |~BADKEY~                                            
CN226001崇川     |~BADKEY~                                            
CN310014下城     |~BADKEY~                                            
CN448001东宝     |~BADKEY~                                            
CN450015二七     |~BADKEY~                                            
CN      文昌     |~BADKEY~                                            
CN      无      |~BADKEY~                                              
CN      武昌     |~BADKEY~                                            
CN      青年     |~BADKEY~                                            
CN100049石景     |~BADKEY~                                            
CN115007鲅鱼     |~BADKEY~                                            
CN200237闵行     |~BADKEY~                                            
CN201620松江     |~BADKEY~                                            
CN210022秦淮     |~BADKEY~                                            
CN214400江阴     |~BADKEY~                                            
CN310006上城     |~BADKEY~                                            
CN400060南岸     |~BADKEY~                                            
CN430000硚口     |~BADKEY~                                            
CN510260海珠     |~BADKEY~                                            
CN518004罗湖     |~BADKEY~                                            
CN523642清溪     |~BADKEY~                                            
CN      东区     |~BADKEY~                                            
CN      乌鲁     |~BADKEY~                                            
CN      兰溪     |~BADKEY~                                            
CN      华山     |~BADKEY~                                            
CN      碑林     |~BADKEY~                                            
CN      红旗     |~BADKEY~                                            
CN      软件     |~BADKEY~                                            
CN      12     |~BADKEY~                                                
CN100144石景     |~BADKEY~                                            
CN110021铁西     |~BADKEY~                                            
CN110143于洪     |~BADKEY~                                            
CN410014雨花     |~BADKEY~                                            
CN510095越秀     |~BADKEY~                                            
CN510450白云     |~BADKEY~                                            
CN530012青秀     |~BADKEY~                                            
CN      昆明     |~BADKEY~                                            
CN      椒江     |~BADKEY~                                            
CN      石河     |~BADKEY~                                            
CN      金水     |~BADKEY~                                            
CN      铁西     |~BADKEY~                                            
CN      黄陂     |~BADKEY~                                            
CN100016朝阳     |~BADKEY~                                            
CN100074丰台     |~BADKEY~                                            
CN102211昌平     |~BADKEY~                                            
CN201708青浦     |~BADKEY~                                            
CN201801嘉定     |~BADKEY~                                            
CN266045四方     |~BADKEY~                                            
CN300071南开     |~BADKEY~                                            
CN300457塘沽     |~BADKEY~                                            
CN350000鼓楼     |~BADKEY~                                            
CN350200长乐     |~BADKEY~                                            
CN408000涪陵     |~BADKEY~                                            
CN510276海珠     |~BADKEY~                                            
CN      仓山     |~BADKEY~                                            
CN      建国     |~BADKEY~                                            
CN      江夏     |~BADKEY~                                            
CN      海港     |~BADKEY~                                            
CN      玉泉     |~BADKEY~                                            
CN      ±±     |~BADKEY~                                              
CN210000南京     |~BADKEY~                                            
CN310007西湖     |~BADKEY~                                            
CN323000莲都     |~BADKEY~                                            
CN362300南安     |~BADKEY~                                            
CN401331沙坪     |~BADKEY~                                            
CN430000湖北     |~BADKEY~                                            
CN430015江汉     |~BADKEY~                                            
CN510290海珠     |~BADKEY~                                            
CN523400寮步     |~BADKEY~                                            
CN610065锦江     |~BADKEY~                                            
CN710043雁塔     |~BADKEY~                                            
CN      五四     |~BADKEY~                                            
CN      吉林     |~BADKEY~                                            
CN      嘉定     |~BADKEY~                                            
CN      天山     |~BADKEY~                                            
CN      徐汇     |~BADKEY~                                            
CN      ¹Ó     |~BADKEY~                                              
CN100033西城     |~BADKEY~                                            
CN100073丰台     |~BADKEY~                                            
CN110024铁西     |~BADKEY~                                            
CN116016西岗     |~BADKEY~                                            
CN214000江苏     |~BADKEY~                                            
CN242000宣州     |~BADKEY~                                            
CN300250河东     |~BADKEY~                                            
CN745199庆城     |~BADKEY~                                            
CN      五华     |~BADKEY~                                            
CN      宁波     |~BADKEY~                                            
CN      珠江     |~BADKEY~                                            
CN      路桥     |~BADKEY~                                            
CN      金牛     |~BADKEY~                                            
CN      雁塔     |~BADKEY~                                            
CN050000桥西     |~BADKEY~                                            
CN065001广阳     |~BADKEY~                                            
CN100044西城     |~BADKEY~                                            
CN100141丰台     |~BADKEY~                                            
CN110006和平     |~BADKEY~                                            
CN110034于洪     |~BADKEY~                                            
CN110085皇姑     |~BADKEY~                                            
CN201323浦东     |~BADKEY~                                            
CN201908宝山     |~BADKEY~                                            
CN266061崂山     |~BADKEY~                                            
CN300130红桥     |~BADKEY~                                            
CN430019江岸     |~BADKEY~                                            
CN430034硚口     |~BADKEY~                                            
CN443000西陵     |~BADKEY~                                            
CN510653天河     |~BADKEY~                                            
CN      北仑     |~BADKEY~                                            
CN      南区     |~BADKEY~                                            
CN      宿舍     |~BADKEY~                                            
CN      西城     |~BADKEY~                                            
CN      龙海     |~BADKEY~                                            
CN100097海淀     |~BADKEY~                                            
CN102500房山     |~BADKEY~                                            
CN150399阿城     |~BADKEY~                                            
CN200131浦东     |~BADKEY~                                            
CN201409奉贤     |~BADKEY~                                            
CN210001秦淮     |~BADKEY~                                            
CN215005姑苏     |~BADKEY~                                            
CN250131历城     |~BADKEY~                                            
CN300132红桥     |~BADKEY~                                            
CN300181河东     |~BADKEY~                                            
CN300200河西     |~BADKEY~                                            
CN312030绍兴     |~BADKEY~                                            
CN315500奉化     |~BADKEY~                                            
CN362000丰泽     |~BADKEY~                                            
CN401147渝北     |~BADKEY~                                            
CN518052南山     |~BADKEY~                                            
CN528303顺德     |~BADKEY~                                            
CN      南湖     |~BADKEY~                                            
CN      城东     |~BADKEY~                                            
CN      西大     |~BADKEY~                                            
CN      龙口     |~BADKEY~                                            
CN045400寿阳     |~BADKEY~                                            
CN200070闸北     |~BADKEY~                                            
CN318020黄岩     |~BADKEY~                                            
CN510260江南     |~BADKEY~                                            
CN510320海珠     |~BADKEY~                                            
CN517000源城     |~BADKEY~                                            
CN518000福田     |~BADKEY~                                            
CN518104宝安     |~BADKEY~                                            
CN550007南明     |~BADKEY~                                            
CN610045武侯     |~BADKEY~                                            
CN      南大     |~BADKEY~                                            
CN      天桥     |~BADKEY~                                            
CN      宝安     |~BADKEY~                                            
CN      桃源     |~BADKEY~                                            
CN050035裕华     |~BADKEY~                                            
CN100011朝阳     |~BADKEY~                                            
CN110041大东     |~BADKEY~                                            
CN116000       |~BADKEY~                                                
CN266022市北     |~BADKEY~                                            
CN300393西青     |~BADKEY~                                            
CN330000       |~BADKEY~                                                
CN365000梅列     |~BADKEY~                                            
CN404042万州     |~BADKEY~                                            
CN515031金平     |~BADKEY~                                            
CN      丰台     |~BADKEY~                                            
CN      城南     |~BADKEY~                                            
CN      宁海     |~BADKEY~                                            
CN      解放     |~BADKEY~                                            
CN      ÉÂ     |~BADKEY~                                              
CN      ËÄ     |~BADKEY~                                              
CN      ÔÆ     |~BADKEY~                                              
CN210005秦淮     |~BADKEY~                                            
CN518042福田     |~BADKEY~                                            
CN523129东城     |~BADKEY~                                            
CN528305顺德     |~BADKEY~                                            
CN528400石岐     |~BADKEY~                                            
CN528415小榄     |~BADKEY~                                            
CN      兰山     |~BADKEY~                                            
CN      北区     |~BADKEY~                                            
CN      南关     |~BADKEY~                                            
CN      大东     |~BADKEY~                                            
CN100013朝阳     |~BADKEY~                                            
CN116006中山     |~BADKEY~                                            
CN121002凌河     |~BADKEY~                                            
CN130011绿园     |~BADKEY~                                            
CN201103长宁     |~BADKEY~                                            
CN201702青浦     |~BADKEY~                                            
CN201901宝山     |~BADKEY~                                            
CN210042玄武     |~BADKEY~                                            
CN215300昆山     |~BADKEY~                                            
CN230051包河     |~BADKEY~                                            
CN350005晋安     |~BADKEY~                                            
CN510250海珠     |~BADKEY~                                            
CN510335海珠     |~BADKEY~                                            
CN536000海城     |~BADKEY~                                            
CN      丹阳     |~BADKEY~                                            
CN      吴中     |~BADKEY~                                            
CN      安定     |~BADKEY~                                            
CN      小店     |~BADKEY~                                            
CN      武清     |~BADKEY~                                            
CN      渝北     |~BADKEY~                                            
CN      贵阳     |~BADKEY~                                            
CN      邢台     |~BADKEY~                                            
CN      ¸Ê     |~BADKEY~                                              
CN215000工业     |~BADKEY~                                            
CN215200吴江     |~BADKEY~                                            
CN300211河西     |~BADKEY~                                            
CN311121余杭     |~BADKEY~                                            
CN312000       |~BADKEY~                                                
CN315012海曙     |~BADKEY~                                            
CN325604乐清     |~BADKEY~                                            
CN435000黄石     |~BADKEY~                                            
CN510507天河     |~BADKEY~                                            
CN530007西乡     |~BADKEY~                                            
CN610015青羊     |~BADKEY~                                            
CN610021锦江     |~BADKEY~                                            
CN      一中     |~BADKEY~                                            
CN      万航     |~BADKEY~                                            
CN      二环     |~BADKEY~                                            
CN      未央     |~BADKEY~                                            
CN      湖滨     |~BADKEY~                                            
CN      瑞金     |~BADKEY~                                            
CN      金州     |~BADKEY~                                            
CN      高明     |~BADKEY~                                            
CN030024万柏     |~BADKEY~                                            
CN044599永济     |~BADKEY~                                            
CN130061朝阳     |~BADKEY~                                            
CN201499奉贤     |~BADKEY~                                            
CN210000玄武     |~BADKEY~                                            
CN210037鼓楼     |~BADKEY~                                            
CN224200东台     |~BADKEY~                                            
CN325606乐清     |~BADKEY~                                            
CN450006中原     |~BADKEY~                                            
CN523121东城     |~BADKEY~                                            
CN      第二     |~BADKEY~                                            
CN      路      |~BADKEY~                                              
CN      SH     |~BADKEY~                                                
CN      ²»     |~BADKEY~                                              
CN      ÁÉ     |~BADKEY~                                              
CN110098大东     |~BADKEY~                                            
CN200041静安     |~BADKEY~                                            
CN200441宝山     |~BADKEY~                                            
CN201619松江     |~BADKEY~                                            
CN215027姑苏     |~BADKEY~                                            
CN266041李沧     |~BADKEY~                                            
CN266510黄岛     |~BADKEY~                                            
CN362211晋江     |~BADKEY~                                            
CN450004管城     |~BADKEY~                                            
CN515144潮南     |~BADKEY~                                            
CN528211南海     |~BADKEY~                                            
CN528427南头     |~BADKEY~                                            
CN570208美兰     |~BADKEY~                                            
CN      新村     |~BADKEY~                                            
CN      济南     |~BADKEY~                                            
CN      浙江     |~BADKEY~                                            
CN      湖北     |~BADKEY~                                            
CN      经十     |~BADKEY~                                            
CN      芙蓉     |~BADKEY~                                            
CN      长兴     |~BADKEY~                                            
CN100050崇文     |~BADKEY~                                            
CN100121朝阳     |~BADKEY~                                            
CN200021卢湾     |~BADKEY~                                            
CN201111闵行     |~BADKEY~                                            
CN210011下关     |~BADKEY~                                            
CN264099芝罘     |~BADKEY~                                            
CN313299德清     |~BADKEY~                                            
CN425000冷水     |~BADKEY~                                            
CN510635天河     |~BADKEY~                                            
CN510642天河     |~BADKEY~                                            
CN510899花都     |~BADKEY~                                            
CN610021武侯     |~BADKEY~                                            
CN710015新城     |~BADKEY~                                            
CN      医院     |~BADKEY~                                            
CN      永和     |~BADKEY~                                            
CN      温岭     |~BADKEY~                                            
CN      溧阳     |~BADKEY~                                            
CN      芳村     |~BADKEY~                                            
CN      高新     |~BADKEY~                                            
CN100011西城     |~BADKEY~                                            
CN100021朝阳     |~BADKEY~                                            
CN200025卢湾     |~BADKEY~                                            
CN200438杨浦     |~BADKEY~                                            
CN454750孟州     |~BADKEY~                                            
CN510150荔湾     |~BADKEY~                                            
CN516001惠城     |~BADKEY~                                            
CN518109宝安     |~BADKEY~                                            
CN527400新兴     |~BADKEY~                                            
CN529100河北     |~BADKEY~                                            
CN610043武侯     |~BADKEY~                                            
CN      清华     |~BADKEY~                                            
CN      路南     |~BADKEY~                                            
CN101300顺义     |~BADKEY~                                            
CN132011船营     |~BADKEY~                                            
CN201105闵行     |~BADKEY~                                            
CN214000无锡     |~BADKEY~                                            
CN410008开福     |~BADKEY~                                            
CN430071洪山     |~BADKEY~                                            
CN471003涧西     |~BADKEY~                                            
CN510515白云     |~BADKEY~                                            
CN529353开平     |~BADKEY~                                            
CN541001秀峰     |~BADKEY~                                            
CN618000旌阳     |~BADKEY~                                            
CN650000云南     |~BADKEY~                                            
CN      中山     |~BADKEY~                                            
CN      惠山     |~BADKEY~                                            
CN      花都     |~BADKEY~                                            
CN      高薪     |~BADKEY~                                            
CN100093海淀     |~BADKEY~                                            
CN200003黄浦     |~BADKEY~                                            
CN200434虹口     |~BADKEY~                                            
CN210029鼓楼     |~BADKEY~                                            
CN215005平江     |~BADKEY~                                            
CN250022槐荫     |~BADKEY~                                            
CN300191南开     |~BADKEY~                                            
CN366000永安     |~BADKEY~                                            
CN430015江岸     |~BADKEY~                                            
CN511450番禺     |~BADKEY~                                            
CN518054南山     |~BADKEY~                                            
CN710043新城     |~BADKEY~                                            
CN      化州     |~BADKEY~                                            
CN      盘龙     |~BADKEY~                                            
CN      萝岗     |~BADKEY~                                            
CN      西华     |~BADKEY~                                            
CN      01     |~BADKEY~                                                
CN030600榆次     |~BADKEY~                                            
CN101113通州     |~BADKEY~                                            
CN130021朝阳     |~BADKEY~                                            
CN166599肇源     |~BADKEY~                                            
CN210017建邺     |~BADKEY~                                            
CN230002包河     |~BADKEY~                                            
CN245699祁门     |~BADKEY~                                            
CN250000       |~BADKEY~                                                
CN310003下城     |~BADKEY~                                            
CN310017江干     |~BADKEY~                                            
CN310030西湖     |~BADKEY~                                            
CN325000温州     |~BADKEY~                                            
CN350001仓山     |~BADKEY~                                            
CN350011晋安     |~BADKEY~                                            
